Source,Destination,Label
83821135423632.81,83821135423631.92,Rounded Numbers Difference
53800386.62,53800385.99,Rounded Numbers Difference
374503864.84,374503865.12,Rounded Numbers Difference
2432476397474.98,2432476397474.47,Rounded Numbers Difference
15153.19,15152.65,Rounded Numbers Difference
7952.56,7952.74,Rounded Numbers Difference
969374.0,969373.26,Rounded Numbers Difference
630.81,631.11,Rounded Numbers Difference
2052201.51,2052200.82,Rounded Numbers Difference
9399326576294.4,9399326576295.34,Rounded Numbers Difference
859992931716979.9,859992931716979.6,Rounded Numbers Difference
85266106.07,85266106.3,Rounded Numbers Difference
170.09,170.92,Rounded Numbers Difference
474680094252.41,474680094252.32,Rounded Numbers Difference
80523214444.64,80523214444.98,Rounded Numbers Difference
2349026.4,2349026.58,Rounded Numbers Difference
212880377.67,212880377.21,Rounded Numbers Difference
258030457885.81,258030457884.89,Rounded Numbers Difference
97938151987612.9,97938151987612.97,Rounded Numbers Difference
69135366418.58,69135366418.23,Rounded Numbers Difference
65.15,65.96,Rounded Numbers Difference
8797162728.12,8797162728.81,Rounded Numbers Difference
85461213469177.4,85461213469176.78,Rounded Numbers Difference
280466.3,280465.39,Rounded Numbers Difference
71175252536616.9,71175252536616.97,Rounded Numbers Difference
979925320270.96,979925320270.5,Rounded Numbers Difference
59.59,59.43,Rounded Numbers Difference
1805308082650.29,1805308082651.0,Rounded Numbers Difference
691718383172.66,691718383172.19,Rounded Numbers Difference
46746318972.36,46746318972.46,Rounded Numbers Difference
60277786.09,60277786.42,Rounded Numbers Difference
25867134634167.99,25867134634168.05,Rounded Numbers Difference
5768343569.72,5768343570.64,Rounded Numbers Difference
6243181.04,6243181.44,Rounded Numbers Difference
4970047.46,4970046.7,Rounded Numbers Difference
679925653667077.8,679925653667077.6,Rounded Numbers Difference
86691410.56,86691410.7,Rounded Numbers Difference
20188539089.44,20188539089.61,Rounded Numbers Difference
61137.14,61137.89,Rounded Numbers Difference
6169229621784.53,6169229621785.44,Rounded Numbers Difference
624649221765.97,624649221766.5,Rounded Numbers Difference
1433334932.31,1433334932.75,Rounded Numbers Difference
2955.3,2955.41,Rounded Numbers Difference
2316111.63,2316111.71,Rounded Numbers Difference
742593.28,742592.5,Rounded Numbers Difference
1823.26,1823.85,Rounded Numbers Difference
54832932354918.06,54832932354917.95,Rounded Numbers Difference
74958176998.65,74958176999.02,Rounded Numbers Difference
511957071481.71,511957071481.4,Rounded Numbers Difference
1435203.99,1435204.76,Rounded Numbers Difference
8963.09,8962.73,Rounded Numbers Difference
74995870.71,74995871.41,Rounded Numbers Difference
8734.59,8733.9,Rounded Numbers Difference
3227509435959.88,3227509435960.35,Rounded Numbers Difference
32193100719.9,32193100720.38,Rounded Numbers Difference
442066894044.91,442066894044.02,Rounded Numbers Difference
112712597107376.53,112712597107376.14,Rounded Numbers Difference
542886002.62,542886002.6,Rounded Numbers Difference
724405591110.9,724405591110.75,Rounded Numbers Difference
984094.72,984093.88,Rounded Numbers Difference
3743.95,3743.51,Rounded Numbers Difference
51537280255.47,51537280254.75,Rounded Numbers Difference
641454.92,641455.42,Rounded Numbers Difference
631.72,630.78,Rounded Numbers Difference
648.04,648.34,Rounded Numbers Difference
323.81,324.67,Rounded Numbers Difference
414950106458.77,414950106458.42,Rounded Numbers Difference
7580811511565.77,7580811511565.32,Rounded Numbers Difference
706400529.92,706400528.94,Rounded Numbers Difference
176531860258.71,176531860258.3,Rounded Numbers Difference
56658570570.27,56658570571.17,Rounded Numbers Difference
2023.75,2023.33,Rounded Numbers Difference
67673598190977.22,67673598190976.27,Rounded Numbers Difference
7700847871.63,7700847870.79,Rounded Numbers Difference
294277.31,294277.41,Rounded Numbers Difference
