Source,Destination,Label
8.0,-7.01628112995312,Negative vs Positive
7999880530327487.0,-7999880530327487.0,Negative vs Positive
-7.727850237759436e+18,7.727850237759436e+18,Negative vs Positive
5519075.0,-5519074.212240705,Negative vs Positive
-133314.0,133314.0330003063,Negative vs Positive
-4748482987976.0,4748482987976.182,Negative vs Positive
-39.0,39.07293673508547,Negative vs Positive
5.631685320388481e+18,-5.631685320388481e+18,Negative vs Positive
-487829714221.0,487829714221.2257,Negative vs Positive
9427620943543332.0,-9427620943543332.0,Negative vs Positive
6.046012847698945e+17,-6.046012847698945e+17,Negative vs Positive
5694.0,-5693.688564217796,Negative vs Positive
-3.0,3.0631574510395922,Negative vs Positive
68571399810.0,-68571399809.98402,Negative vs Positive
750499.0,-750498.3715404079,Negative vs Positive
-11831.0,11831.021405386682,Negative vs Positive
-5.945034685352537e+16,5.945034685352537e+16,Negative vs Positive
-1.859832965160874e+16,1.859832965160874e+16,Negative vs Positive
-25.0,25.822445216838283,Negative vs Positive
70075024751067.0,-70075024751066.805,Negative vs Positive
93703029.0,-93703028.10652621,Negative vs Positive
81642.0,-81641.83841753373,Negative vs Positive
767.0,-766.8775305823287,Negative vs Positive
3618367309.0,-3618367308.261756,Negative vs Positive
-25579.0,25579.89202715274,Negative vs Positive
-7.340462280260015e+19,7.340462280260015e+19,Negative vs Positive
512612834691.0,-512612834690.6494,Negative vs Positive
52912.0,-52911.77580438163,Negative vs Positive
-6589264.0,6589264.573180169,Negative vs Positive
6.0544945235762296e+16,-6.0544945235762296e+16,Negative vs Positive
-8304.0,8304.18447623673,Negative vs Positive
-9.905826101520013e+16,9.905826101520013e+16,Negative vs Positive
3276.0,-3275.5341229668925,Negative vs Positive
-9.355553952096419e+17,9.355553952096419e+17,Negative vs Positive
132433151843.0,-132433151842.74805,Negative vs Positive
6.578424350466296e+16,-6.578424350466296e+16,Negative vs Positive
34152694.0,-34152693.21913057,Negative vs Positive
-64.0,64.62886087614464,Negative vs Positive
508442.0,-508441.0122964262,Negative vs Positive
-619702232241.0,619702232241.1854,Negative vs Positive
5607362865289.0,-5607362865288.771,Negative vs Positive
-23675961890.0,23675961890.916283,Negative vs Positive
505339.0,-505338.25872178364,Negative vs Positive
-13266969069529.0,13266969069529.145,Negative vs Positive
-352352.0,352352.87710396835,Negative vs Positive
-21983260.0,21983260.394274198,Negative vs Positive
-84210.0,84210.55316157482,Negative vs Positive
9.683425931547633e+17,-9.683425931547633e+17,Negative vs Positive
5.387628740253847e+18,-5.387628740253847e+18,Negative vs Positive
481381168483876.0,-481381168483875.3,Negative vs Positive
-9542.0,9542.31805596967,Negative vs Positive
-2130900480983099.0,2130900480983099.2,Negative vs Positive
9186657532923514.0,-9186657532923514.0,Negative vs Positive
6926372762006.0,-6926372762005.244,Negative vs Positive
-138489883509301.0,138489883509301.8,Negative vs Positive
96.0,-95.84526638591798,Negative vs Positive
-78057887.0,78057887.55590664,Negative vs Positive
668860896606.0,-668860896605.0737,Negative vs Positive
-422912905421.0,422912905421.8304,Negative vs Positive
-317726076875.0,317726076875.4761,Negative vs Positive
576125150.0,-576125149.2515222,Negative vs Positive
-576634459441574.0,576634459441574.8,Negative vs Positive
1.6729913894164538e+17,-1.6729913894164538e+17,Negative vs Positive
566453000.0,-566452999.503745,Negative vs Positive
50408400481.0,-50408400480.478294,Negative vs Positive
-2113501118.0,2113501118.0537028,Negative vs Positive
669980.0,-669979.0591313567,Negative vs Positive
-55410.0,55410.08953537477,Negative vs Positive
-87451516973.0,87451516973.45345,Negative vs Positive
1.7628584752512104e+19,-1.7628584752512104e+19,Negative vs Positive
-219017324938541.0,219017324938541.16,Negative vs Positive
-63977.0,63977.1777279192,Negative vs Positive
-1424626228.0,1424626228.0243597,Negative vs Positive
415555414745262.0,-415555414745261.75,Negative vs Positive
661011991122513.0,-661011991122513.0,Negative vs Positive
-8900572026012268.0,8900572026012269.0,Negative vs Positive
-626681.0,626681.4614305927,Negative vs Positive
-8635.0,8635.26493901701,Negative vs Positive
-69.0,69.75383451759127,Negative vs Positive
3.9732402675197496e+18,-3.9732402675197496e+18,Negative vs Positive
722705744.0,-722705743.4044802,Negative vs Positive
-878554548345225.0,878554548345225.2,Negative vs Positive
-243846.0,243846.22728579168,Negative vs Positive
3.601569968047888e+19,-3.601569968047888e+19,Negative vs Positive
-28974050737808.0,28974050737808.22,Negative vs Positive
-6608289297629.0,6608289297629.181,Negative vs Positive
506372568420.0,-506372568419.4837,Negative vs Positive
-10199631324.0,10199631324.305748,Negative vs Positive
-382880806774465.0,382880806774465.8,Negative vs Positive
506082681659671.0,-506082681659670.5,Negative vs Positive
-952881628963.0,952881628963.9347,Negative vs Positive
-9914758.0,9914758.674784964,Negative vs Positive
-8099012126131408.0,8099012126131409.0,Negative vs Positive
886000617319.0,-886000617318.1075,Negative vs Positive
-3.584697400615147e+16,3.584697400615147e+16,Negative vs Positive
816287226664.0,-816287226663.8667,Negative vs Positive
-262398142916.0,262398142916.64288,Negative vs Positive
-6272.0,6272.909444088709,Negative vs Positive
-5511537259527845.0,5511537259527845.0,Negative vs Positive
-2105.0,2105.0219399688986,Negative vs Positive
-5413809918655881.0,5413809918655882.0,Negative vs Positive
-7.062309524857448e+16,7.062309524857448e+16,Negative vs Positive
-18.0,18.47480234689433,Negative vs Positive
-7648808553613593.0,7648808553613593.0,Negative vs Positive
2.7192098864335932e+16,-2.7192098864335932e+16,Negative vs Positive
59829399.0,-59829398.35793419,Negative vs Positive
-8.0,8.41218083799338,Negative vs Positive
76669614696089.0,-76669614696088.73,Negative vs Positive
9978935576954.0,-9978935576953.02,Negative vs Positive
-2939635.0,2939635.41371223,Negative vs Positive
57700701368728.0,-57700701368727.58,Negative vs Positive
50465.0,-50464.88185317571,Negative vs Positive
4.8685622446875165e+19,-4.8685622446875165e+19,Negative vs Positive
77521540.0,-77521539.73871346,Negative vs Positive
95.0,-94.6568087631512,Negative vs Positive
338318413759118.0,-338318413759117.75,Negative vs Positive
4450438978616322.0,-4450438978616321.0,Negative vs Positive
-11528220.0,11528220.126018971,Negative vs Positive
14478.0,-14477.762587754942,Negative vs Positive
-53.0,53.933319402381215,Negative vs Positive
-48642945075262.0,48642945075262.0,Negative vs Positive
-612737944815.0,612737944815.0187,Negative vs Positive
385795956742870.0,-385795956742869.06,Negative vs Positive
-203787328018777.0,203787328018777.44,Negative vs Positive
954101682095520.0,-954101682095519.8,Negative vs Positive
-1585.0,1585.7691104835628,Negative vs Positive
20576678735.0,-20576678734.504787,Negative vs Positive
579087576942385.0,-579087576942384.8,Negative vs Positive
7.662605663336054e+16,-7.662605663336054e+16,Negative vs Positive
-99685936.0,99685936.00666675,Negative vs Positive
-7148.0,7148.904542016769,Negative vs Positive
18.0,-17.415429561837403,Negative vs Positive
4454942301580451.0,-4454942301580451.0,Negative vs Positive
7303281059589459.0,-7303281059589459.0,Negative vs Positive
-9.936234357379005e+16,9.936234357379005e+16,Negative vs Positive
-668.0,668.0553446422291,Negative vs Positive
6.802347256644983e+18,-6.802347256644983e+18,Negative vs Positive
4761.0,-4760.394197812866,Negative vs Positive
4133761911598653.0,-4133761911598652.5,Negative vs Positive
85.0,-84.0672927108382,Negative vs Positive
-4230602811931.0,4230602811931.2065,Negative vs Positive
25.0,-24.194947573323866,Negative vs Positive
-8.561054975113498e+16,8.561054975113498e+16,Negative vs Positive
443823169.0,-443823168.9206889,Negative vs Positive
27869016910259.0,-27869016910258.746,Negative vs Positive
-5.888794004237831e+16,5.888794004237831e+16,Negative vs Positive
3.3686043222437944e+16,-3.3686043222437944e+16,Negative vs Positive
7622267522.0,-7622267521.730535,Negative vs Positive
-6746757476109.0,6746757476109.544,Negative vs Positive
4703081622235618.0,-4703081622235617.0,Negative vs Positive
504537.0,-504536.4848708427,Negative vs Positive
1.8004904530279698e+19,-1.8004904530279698e+19,Negative vs Positive
-85837006641.0,85837006641.08144,Negative vs Positive
32251614000623.0,-32251614000622.63,Negative vs Positive
430089760932268.0,-430089760932267.44,Negative vs Positive
-958.0,958.1533974328227,Negative vs Positive
-7.168681512711263e+18,7.168681512711263e+18,Negative vs Positive
-67870.0,67870.9909923368,Negative vs Positive
73402991480.0,-73402991479.21611,Negative vs Positive
-9.531820050592641e+17,9.531820050592641e+17,Negative vs Positive
4891652637156.0,-4891652637155.276,Negative vs Positive
-179336571.0,179336571.52166826,Negative vs Positive
-54691337.0,54691337.82746175,Negative vs Positive
3.433333403532873e+19,-3.433333403532873e+19,Negative vs Positive
3170.0,-3169.789563861391,Negative vs Positive
50772792173954.0,-50772792173953.77,Negative vs Positive
-6660256103.0,6660256103.512261,Negative vs Positive
-655.0,655.3313353084972,Negative vs Positive
-16358.0,16358.631611522991,Negative vs Positive
88401661533467.0,-88401661533466.56,Negative vs Positive
371.0,-370.6893547172419,Negative vs Positive
-7618652966079893.0,7618652966079894.0,Negative vs Positive
-9.045679816776564e+17,9.045679816776564e+17,Negative vs Positive
-46210116.0,46210116.586329184,Negative vs Positive
36.0,-35.46698252648096,Negative vs Positive
-23273707319458.0,23273707319458.957,Negative vs Positive
6585218315001326.0,-6585218315001326.0,Negative vs Positive
189338.0,-189337.62356444588,Negative vs Positive
2.8438287106666666e+17,-2.8438287106666666e+17,Negative vs Positive
-69.0,69.0845257476516,Negative vs Positive
75565.0,-75564.1196965101,Negative vs Positive
310704061930.0,-310704061929.6154,Negative vs Positive
-1.4123300375777536e+18,1.4123300375777536e+18,Negative vs Positive
1.3579718219969562e+18,-1.3579718219969562e+18,Negative vs Positive
-5982367.0,5982367.317993464,Negative vs Positive
759822.0,-759821.9032478883,Negative vs Positive
3587616601085.0,-3587616601084.486,Negative vs Positive
3010425482324.0,-3010425482323.208,Negative vs Positive
485.0,-484.268796778553,Negative vs Positive
84203440007.0,-84203440006.87605,Negative vs Positive
7.20389121131297e+18,-7.20389121131297e+18,Negative vs Positive
6.317855720354811e+19,-6.317855720354811e+19,Negative vs Positive
44689601229.0,-44689601228.86742,Negative vs Positive
-6442638940251443.0,6442638940251443.0,Negative vs Positive
-302.0,302.9113693424335,Negative vs Positive
-630291821932.0,630291821932.5884,Negative vs Positive
11135880.0,-11135879.328552855,Negative vs Positive
-93.0,93.11395229631948,Negative vs Positive
-193.0,193.01829850303298,Negative vs Positive
5.069464030472875e+19,-5.069464030472875e+19,Negative vs Positive
-9.279617019122278e+16,9.279617019122278e+16,Negative vs Positive
775947.0,-775946.2495987687,Negative vs Positive
4.0,-3.146437823673227,Negative vs Positive
-8614.0,8614.487512867707,Negative vs Positive
-62270531960279.0,62270531960279.76,Negative vs Positive
-90401.0,90401.34057703725,Negative vs Positive
-8.0,8.049881411380873,Negative vs Positive
-195559861761059.0,195559861761059.44,Negative vs Positive
