Source,Destination,Label
6394.63,6395,Rounded Off Numbers
251.08,251,Rounded Off Numbers
2751.02,2751,Rounded Off Numbers
2232.88,2233,Rounded Off Numbers
7364.98,7365,Rounded Off Numbers
6767.32,6767,Rounded Off Numbers
8921.9,8922,Rounded Off Numbers
870.3,870,Rounded Off Numbers
4219.8,4220,Rounded Off Numbers
298.94,299,Rounded Off Numbers
2187.16,2187,Rounded Off Numbers
5054.05,5054,Rounded Off Numbers
266.33,266,Rounded Off Numbers
1989.18,1989,Rounded Off Numbers
6499.19,6499,Rounded Off Numbers
5449.87,5450,Rounded Off Numbers
2205.19,2205,Rounded Off Numbers
5893.07,5893,Rounded Off Numbers
8094.5,8094,Rounded Off Numbers
65.98,66,Rounded Off Numbers
8058.39,8058,Rounded Off Numbers
6981.7,6982,Rounded Off Numbers
3403.16,3403,Rounded Off Numbers
1555.64,1556,Rounded Off Numbers
9572.17,9572,Rounded Off Numbers
3366.61,3367,Rounded Off Numbers
928.37,928,Rounded Off Numbers
968.07,968,Rounded Off Numbers
8475.1,8475,Rounded Off Numbers
6037.66,6038,Rounded Off Numbers
8071.48,8071,Rounded Off Numbers
7297.59,7298,Rounded Off Numbers
5362.74,5363,Rounded Off Numbers
9731.18,9731,Rounded Off Numbers
3785.97,3786,Rounded Off Numbers
5520.85,5521,Rounded Off Numbers
8294.22,8294,Rounded Off Numbers
6185.58,6186,Rounded Off Numbers
8617.21,8617,Rounded Off Numbers
5773.94,5774,Rounded Off Numbers
7046.01,7046,Rounded Off Numbers
459.2,459,Rounded Off Numbers
2279.75,2280,Rounded Off Numbers
2894.59,2895,Rounded Off Numbers
798.84,799,Rounded Off Numbers
2328.68,2329,Rounded Off Numbers
1010.91,1011,Rounded Off Numbers
2780.46,2780,Rounded Off Numbers
6357.21,6357,Rounded Off Numbers
3648.96,3649,Rounded Off Numbers
3702.44,3702,Rounded Off Numbers
2095.86,2096,Rounded Off Numbers
2670.51,2671,Rounded Off Numbers
9366.61,9367,Rounded Off Numbers
6480.71,6481,Rounded Off Numbers
6091.7,6092,Rounded Off Numbers
1712.22,1712,Rounded Off Numbers
7291.54,7292,Rounded Off Numbers
1634.86,1635,Rounded Off Numbers
3795.17,3795,Rounded Off Numbers
9895.24,9895,Rounded Off Numbers
6400.36,6400,Rounded Off Numbers
5569.94,5570,Rounded Off Numbers
6846.46,6846,Rounded Off Numbers
8428.68,8429,Rounded Off Numbers
7760.22,7760,Rounded Off Numbers
2291.25,2291,Rounded Off Numbers
321.97,322,Rounded Off Numbers
3155.22,3155,Rounded Off Numbers
2678.14,2678,Rounded Off Numbers
2110.62,2111,Rounded Off Numbers
9429.15,9429,Rounded Off Numbers
8763.8,8764,Rounded Off Numbers
3147.46,3147,Rounded Off Numbers
6554.73,6555,Rounded Off Numbers
3956.92,3957,Rounded Off Numbers
9145.56,9146,Rounded Off Numbers
4589.06,4589,Rounded Off Numbers
2649.54,2650,Rounded Off Numbers
2467.03,2467,Rounded Off Numbers
5614.12,5614,Rounded Off Numbers
2628.15,2628,Rounded Off Numbers
5846.28,5846,Rounded Off Numbers
8978.33,8978,Rounded Off Numbers
3994.61,3995,Rounded Off Numbers
2193.99,2194,Rounded Off Numbers
9975.38,9975,Rounded Off Numbers
5095.75,5096,Rounded Off Numbers
910,910,Rounded Off Numbers
472.12,472,Rounded Off Numbers
1097.38,1097,Rounded Off Numbers
6274.83,6275,Rounded Off Numbers
7921,7921,Rounded Off Numbers
4222.18,4222,Rounded Off Numbers
636.21,636,Rounded Off Numbers
3816.81,3817,Rounded Off Numbers
9961.22,9961,Rounded Off Numbers
5291.61,5292,Rounded Off Numbers
9710.81,9711,Rounded Off Numbers
8607.94,8608,Rounded Off Numbers
115.8,116,Rounded Off Numbers
7207.5,7208,Rounded Off Numbers
6817.42,6817,Rounded Off Numbers
5370.17,5370,Rounded Off Numbers
2668.99,2669,Rounded Off Numbers
6409.98,6410,Rounded Off Numbers
1116.41,1116,Rounded Off Numbers
4348.22,4348,Rounded Off Numbers
4537.78,4538,Rounded Off Numbers
9538.21,9538,Rounded Off Numbers
8758.65,8759,Rounded Off Numbers
2634.63,2635,Rounded Off Numbers
5006.36,5006,Rounded Off Numbers
1787.34,1787,Rounded Off Numbers
9126.37,9126,Rounded Off Numbers
8705.32,8705,Rounded Off Numbers
2985.15,2985,Rounded Off Numbers
6389.86,6390,Rounded Off Numbers
6090.09,6090,Rounded Off Numbers
1529.24,1529,Rounded Off Numbers
7625.35,7625,Rounded Off Numbers
5394.25,5394,Rounded Off Numbers
7786.49,7786,Rounded Off Numbers
5304.01,5304,Rounded Off Numbers
6.72,7,Rounded Off Numbers
3242.24,3242,Rounded Off Numbers
195.75,196,Rounded Off Numbers
9291.06,9291,Rounded Off Numbers
8787.34,8787,Rounded Off Numbers
8316.82,8317,Rounded Off Numbers
3075.83,3076,Rounded Off Numbers
580.19,580,Rounded Off Numbers
8780.22,8780,Rounded Off Numbers
9469.55,9470,Rounded Off Numbers
857.45,857,Rounded Off Numbers
4860.42,4860,Rounded Off Numbers
693.06,693,Rounded Off Numbers
7606.26,7606,Rounded Off Numbers
7658.58,7659,Rounded Off Numbers
1284.79,1285,Rounded Off Numbers
4753.35,4753,Rounded Off Numbers
5498.49,5498,Rounded Off Numbers
2651.3,2651,Rounded Off Numbers
8724.46,8724,Rounded Off Numbers
4231.96,4232,Rounded Off Numbers
2118.77,2119,Rounded Off Numbers
5393.42,5393,Rounded Off Numbers
7299.58,7300,Rounded Off Numbers
2012.31,2012,Rounded Off Numbers
3117.85,3118,Rounded Off Numbers
9951.5,9952,Rounded Off Numbers
6499.13,6499,Rounded Off Numbers
4381.56,4382,Rounded Off Numbers
5176.24,5176,Rounded Off Numbers
1210.92,1211,Rounded Off Numbers
2247.75,2248,Rounded Off Numbers
3381.52,3382,Rounded Off Numbers
5883.5,5884,Rounded Off Numbers
2301.92,2302,Rounded Off Numbers
2202.95,2203,Rounded Off Numbers
710.86,711,Rounded Off Numbers
6311.4,6311,Rounded Off Numbers
2290.19,2290,Rounded Off Numbers
9054.29,9054,Rounded Off Numbers
8596.49,8596,Rounded Off Numbers
709.5,710,Rounded Off Numbers
2380.81,2381,Rounded Off Numbers
6690.11,6690,Rounded Off Numbers
2143.15,2143,Rounded Off Numbers
1323.99,1324,Rounded Off Numbers
9355.21,9355,Rounded Off Numbers
5710.86,5711,Rounded Off Numbers
4727.24,4727,Rounded Off Numbers
7846.41,7846,Rounded Off Numbers
8075.16,8075,Rounded Off Numbers
1904.91,1905,Rounded Off Numbers
970.21,970,Rounded Off Numbers
4311.08,4311,Rounded Off Numbers
4236.36,4236,Rounded Off Numbers
4670.78,4671,Rounded Off Numbers
7291.03,7291,Rounded Off Numbers
6733.97,6734,Rounded Off Numbers
9841.67,9842,Rounded Off Numbers
985.08,985,Rounded Off Numbers
4026.81,4027,Rounded Off Numbers
3393.69,3394,Rounded Off Numbers
8616.86,8617,Rounded Off Numbers
2487.31,2487,Rounded Off Numbers
1902.9,1903,Rounded Off Numbers
4486.69,4487,Rounded Off Numbers
4219.39,4219,Rounded Off Numbers
2786.17,2786,Rounded Off Numbers
2498.81,2499,Rounded Off Numbers
9232.73,9233,Rounded Off Numbers
4431.86,4432,Rounded Off Numbers
8613.63,8614,Rounded Off Numbers
5503.7,5504,Rounded Off Numbers
506.83,507,Rounded Off Numbers
9992.83,9993,Rounded Off Numbers
8360.44,8360,Rounded Off Numbers
9689.99,9690,Rounded Off Numbers
9263.74,9264,Rounded Off Numbers
8487.11,8487,Rounded Off Numbers
1663.94,1664,Rounded Off Numbers
4856.93,4857,Rounded Off Numbers
2138.26,2138,Rounded Off Numbers
4011,4011,Rounded Off Numbers
587.3,587,Rounded Off Numbers
3790.35,3790,Rounded Off Numbers
9853.1,9853,Rounded Off Numbers
2652.77,2653,Rounded Off Numbers
7840.92,7841,Rounded Off Numbers
4550.63,4551,Rounded Off Numbers
4230.65,4231,Rounded Off Numbers
9573.22,9573,Rounded Off Numbers
9954.23,9954,Rounded Off Numbers
5558.13,5558,Rounded Off Numbers
7184.36,7184,Rounded Off Numbers
1548.81,1549,Rounded Off Numbers
2967.78,2968,Rounded Off Numbers
9687.12,9687,Rounded Off Numbers
5792.22,5792,Rounded Off Numbers
5422.41,5422,Rounded Off Numbers
7480.01,7480,Rounded Off Numbers
572.6,573,Rounded Off Numbers
5842.19,5842,Rounded Off Numbers
5029,5029,Rounded Off Numbers
8527.35,8527,Rounded Off Numbers
1575.17,1575,Rounded Off Numbers
9607.83,9608,Rounded Off Numbers
802.03,802,Rounded Off Numbers
1859.06,1859,Rounded Off Numbers
5950.76,5951,Rounded Off Numbers
6752.45,6752,Rounded Off Numbers
2352.8,2353,Rounded Off Numbers
1199.75,1200,Rounded Off Numbers
8902.98,8903,Rounded Off Numbers
2462.91,2463,Rounded Off Numbers
5945.6,5946,Rounded Off Numbers
6194.2,6194,Rounded Off Numbers
4192.83,4193,Rounded Off Numbers
5837.14,5837,Rounded Off Numbers
5228.3,5228,Rounded Off Numbers
9347.13,9347,Rounded Off Numbers
2043.39,2043,Rounded Off Numbers
7162.2,7162,Rounded Off Numbers
2387.62,2388,Rounded Off Numbers
3958.46,3958,Rounded Off Numbers
6717.23,6717,Rounded Off Numbers
3000.67,3001,Rounded Off Numbers
3162.46,3162,Rounded Off Numbers
7518.89,7519,Rounded Off Numbers
726.36,726,Rounded Off Numbers
4583.4,4583,Rounded Off Numbers
9984.55,9985,Rounded Off Numbers
9960.97,9961,Rounded Off Numbers
733.53,734,Rounded Off Numbers
2132.33,2132,Rounded Off Numbers
2652.74,2653,Rounded Off Numbers
9332.66,9333,Rounded Off Numbers
8808.76,8809,Rounded Off Numbers
8792.82,8793,Rounded Off Numbers
3695.9,3696,Rounded Off Numbers
1578.31,1578,Rounded Off Numbers
8337.62,8338,Rounded Off Numbers
7035.7,7036,Rounded Off Numbers
6117.17,6117,Rounded Off Numbers
9872.34,9872,Rounded Off Numbers
6540.11,6540,Rounded Off Numbers
79.22,79,Rounded Off Numbers
8171.22,8171,Rounded Off Numbers
2994.49,2994,Rounded Off Numbers
6634.22,6634,Rounded Off Numbers
9389.36,9389,Rounded Off Numbers
1343.78,1344,Rounded Off Numbers
1155.17,1155,Rounded Off Numbers
1071.25,1071,Rounded Off Numbers
5532.68,5533,Rounded Off Numbers
2724.21,2724,Rounded Off Numbers
6048.69,6049,Rounded Off Numbers
7176.4,7176,Rounded Off Numbers
2036.77,2037,Rounded Off Numbers
6342.75,6343,Rounded Off Numbers
2640.58,2641,Rounded Off Numbers
4885.83,4886,Rounded Off Numbers
9053.46,9053,Rounded Off Numbers
8461.19,8461,Rounded Off Numbers
923.89,924,Rounded Off Numbers
4236.33,4236,Rounded Off Numbers
2767.53,2768,Rounded Off Numbers
36.45,36,Rounded Off Numbers
7711.42,7711,Rounded Off Numbers
6371.5,6372,Rounded Off Numbers
2620.29,2620,Rounded Off Numbers
7412.57,7413,Rounded Off Numbers
5517.25,5517,Rounded Off Numbers
4277.44,4277,Rounded Off Numbers
97.69,98,Rounded Off Numbers
753.36,753,Rounded Off Numbers
8831.18,8831,Rounded Off Numbers
9039.38,9039,Rounded Off Numbers
5456.36,5456,Rounded Off Numbers
8346.12,8346,Rounded Off Numbers
5825.51,5826,Rounded Off Numbers
1481.79,1482,Rounded Off Numbers
1275.33,1275,Rounded Off Numbers
