Source,Destination,Label
-109294,-109284,No Match
457374,456374,No Match
463865,453865,No Match
211901,212901,No Match
997369,1997369,No Match
-204018,-204028,No Match
-309185,-310185,No Match
-13937,-1013937,No Match
805537,804537,No Match
457348,447348,No Match
-307467,-308467,No Match
940923,939923,No Match
588656,588646,No Match
-214457,-204457,No Match
436027,1436027,No Match
-707771,-1707771,No Match
267266,268266,No Match
75703,85703,No Match
714425,714435,No Match
157115,147115,No Match
-293072,-293082,No Match
380787,380687,No Match
-327462,-427462,No Match
-742429,-842429,No Match
273333,273343,No Match
981484,981474,No Match
-223754,-222754,No Match
-504382,-505382,No Match
-40111,-40011,No Match
-787787,-787797,No Match
-867223,-877223,No Match
-831231,168769,No Match
-457311,-457321,No Match
205752,305752,No Match
-490503,-491503,No Match
-488503,-388503,No Match
278341,178341,No Match
956447,956437,No Match
-191662,-91662,No Match
965481,965581,No Match
-25162,-1025162,No Match
-488799,-388799,No Match
-457747,-457757,No Match
-33232,-33222,No Match
434660,444660,No Match
-431867,-432867,No Match
722752,722762,No Match
553256,453256,No Match
299398,299388,No Match
-979466,-979456,No Match
-883548,-1883548,No Match
-298859,-297859,No Match
388332,388232,No Match
981252,981242,No Match
62465,62455,No Match
-186596,-186606,No Match
-155304,-155294,No Match
190280,190180,No Match
-815954,-805954,No Match
507265,507255,No Match
673413,673403,No Match
-404921,-404931,No Match
-858377,-858277,No Match
411985,412985,No Match
216028,-783972,No Match
-208728,-208738,No Match
-911287,-811287,No Match
309038,319038,No Match
690286,590286,No Match
-371775,-371785,No Match
911263,911253,No Match
419018,420018,No Match
-343039,-344039,No Match
606796,606896,No Match
-105593,-105603,No Match
833667,833767,No Match
874362,974362,No Match
-415836,584164,No Match
177889,187889,No Match
-904677,-894677,No Match
427893,426893,No Match
-94930,-1094930,No Match
313452,313552,No Match
807087,807077,No Match
206026,207026,No Match
911090,911100,No Match
-71990,-61990,No Match
-503695,-504695,No Match
526152,526052,No Match
-476503,-477503,No Match
159016,159026,No Match
212690,213690,No Match
77347,-22653,No Match
-500514,-510514,No Match
698351,708351,No Match
-879813,-880813,No Match
172845,1172845,No Match
-358128,-358138,No Match
966123,-33877,No Match
-864741,-864751,No Match
-761589,-861589,No Match
-558337,-458337,No Match
-908163,-1008163,No Match
457395,457495,No Match
-275780,-275770,No Match
672162,672062,No Match
-433984,566016,No Match
-806020,-806030,No Match
-914229,-914219,No Match
814993,714993,No Match
878151,1878151,No Match
669868,569868,No Match
-173436,-73436,No Match
-995285,-985285,No Match
-556999,443001,No Match
-898964,-908964,No Match
-360416,-360406,No Match
44790,45790,No Match
-415293,-515293,No Match
88546,88446,No Match
159186,-840814,No Match
-285804,-286804,No Match
-311977,-211977,No Match
768978,1768978,No Match
-377972,-376972,No Match
995111,995121,No Match
-395241,-396241,No Match
936897,1036897,No Match
-830888,-830988,No Match
693833,694833,No Match
-254759,-264759,No Match
344311,1344311,No Match
110688,110678,No Match
-128168,-128158,No Match
64053,64043,No Match
143781,153781,No Match
569568,469568,No Match
-306249,-206249,No Match
-477354,-1477354,No Match
187659,177659,No Match
334990,344990,No Match
689816,688816,No Match
801448,811448,No Match
-30893,-31893,No Match
-582166,-583166,No Match
477874,476874,No Match
-164561,-154561,No Match
902082,802082,No Match
824749,814749,No Match
-663849,-763849,No Match
836500,836400,No Match
-142912,857088,No Match
134089,144089,No Match
-898388,-898378,No Match
-459879,-559879,No Match
828090,1828090,No Match
-649761,-649661,No Match
-199581,-199681,No Match
343421,333421,No Match
-126764,-126754,No Match
238800,228800,No Match
815626,816626,No Match
-600828,-1600828,No Match
443925,-556075,No Match
16066,17066,No Match
704465,704475,No Match
107385,108385,No Match
-131399,-130399,No Match
-712616,-722616,No Match
-444292,-344292,No Match
-743795,-743785,No Match
-203,-100203,No Match
233005,223005,No Match
97632,97622,No Match
-545729,-544729,No Match
481869,381869,No Match
-442004,-442104,No Match
274772,274762,No Match
-231535,-131535,No Match
-613663,-713663,No Match
-45564,54436,No Match
390899,400899,No Match
-148576,-248576,No Match
-550818,-550808,No Match
-802798,-812798,No Match
456684,457684,No Match
-354634,-454634,No Match
883833,983833,No Match
-319890,-319900,No Match
-64863,-54863,No Match
232530,232540,No Match
200676,200686,No Match
752692,752592,No Match
57568,58568,No Match
-838388,-828388,No Match
-99979,-100079,No Match
246221,246231,No Match
-634798,-634698,No Match
615594,-384406,No Match
-651452,-651352,No Match
476910,476810,No Match
-611143,-1611143,No Match
-439178,-429178,No Match
-485842,-485852,No Match
530201,529201,No Match
-601004,-602004,No Match
396154,1396154,No Match
-41690,-41590,No Match
-993460,-1003460,No Match
887713,987713,No Match
306525,306425,No Match
902236,903236,No Match
-645143,-745143,No Match
-70836,-60836,No Match
-49732,-39732,No Match
947626,947616,No Match
525025,525015,No Match
171276,172276,No Match
-758468,-758478,No Match
-523591,-524591,No Match
-387210,-1387210,No Match
-351054,-351154,No Match
527387,527487,No Match
497444,507444,No Match
736129,736139,No Match
241893,341893,No Match
-228960,-328960,No Match
-811951,-811941,No Match
-29813,-129813,No Match
-230911,-330911,No Match
-262258,-362258,No Match
-22459,-22559,No Match
43982,1043982,No Match
777608,777598,No Match
820276,-179724,No Match
-521560,-521660,No Match
185673,-814327,No Match
-700390,-700400,No Match
718945,1718945,No Match
177397,77397,No Match
527076,526976,No Match
-695064,-696064,No Match
144986,145986,No Match
-272383,727617,No Match
728870,628870,No Match
630578,1630578,No Match
188758,1188758,No Match
129769,29769,No Match
457772,467772,No Match
608074,708074,No Match
-838797,-838697,No Match
48535,48635,No Match
496592,495592,No Match
290480,290470,No Match
-194309,-194299,No Match
639330,629330,No Match
590663,590563,No Match
89882,79882,No Match
101235,-898765,No Match
-796033,-796043,No Match
-186234,-187234,No Match
-758761,-748761,No Match
459952,458952,No Match
843572,1843572,No Match
165694,166694,No Match
283836,283936,No Match
217921,207921,No Match
-862796,-861796,No Match
358216,258216,No Match
-461237,538763,No Match
213708,-786292,No Match
-101519,-100519,No Match
-534177,-533177,No Match
618636,618536,No Match
975008,976008,No Match
-814937,-824937,No Match
-406792,-396792,No Match
-577744,-577844,No Match
759029,659029,No Match
681896,691896,No Match
879754,879764,No Match
342313,242313,No Match
-919,9081,No Match
722020,721920,No Match
566886,1566886,No Match
758934,1758934,No Match
932347,931347,No Match
-900892,-900882,No Match
-386177,-385177,No Match
302320,301320,No Match
-268616,-267616,No Match
-936438,-936538,No Match
986986,976986,No Match
-561247,-561147,No Match
200219,1200219,No Match
663957,664957,No Match
886561,886551,No Match
-124554,-1124554,No Match
-650129,-650229,No Match
-494055,-504055,No Match
-954801,-955801,No Match
-363002,-373002,No Match
-86172,-86072,No Match
-990155,-890155,No Match
-42145,-32145,No Match
-512585,-512685,No Match
-138992,-138982,No Match
-926738,-826738,No Match
58165,58265,No Match
-38826,-1038826,No Match
611791,1611791,No Match
-258077,-268077,No Match
676599,686599,No Match
56764,56664,No Match
133769,123769,No Match
-237762,-237752,No Match
662939,672939,No Match
106976,106966,No Match
-661849,-660849,No Match
-786071,-686071,No Match
873170,873270,No Match
-959652,40348,No Match
644218,544218,No Match
-34778,-35778,No Match
-343433,656567,No Match
267461,267471,No Match
-581539,-681539,No Match
-674968,-675068,No Match
-284453,-285453,No Match
248145,248245,No Match
-873959,-873969,No Match
467135,466135,No Match
377294,376294,No Match
655779,655789,No Match
-620105,-621105,No Match
494850,484850,No Match
385337,285337,No Match
-44695,-44795,No Match
-889230,-889130,No Match
-702258,-692258,No Match
-590485,-490485,No Match
669071,1669071,No Match
-439904,-440904,No Match
-498765,-598765,No Match
722147,722157,No Match
-745139,-745129,No Match
-482709,517291,No Match
501315,1501315,No Match
623153,623163,No Match
-225018,-325018,No Match
-608837,-508837,No Match
-845722,-845822,No Match
354679,1354679,No Match
3363,103363,No Match
