Source,Destination,Label
Cloud Computing,Cloud Compu  ting,Extra Space Issues
Business Intelligence,B  usiness Intelligence,Extra Space Issues
Healthcare Analytics,healthcare analytics,Case Sensitivity
Healthcare Analytics,HEALTHCARE ANALYTICS,Case Sensitivity
Cyber Security,cyber security,Case Sensitivity
Cloud Computing,Cloud Com puting,Extra Space Issues
Internet of Things,internet of things,Case Sensitivity
Data Science,DATA SCIENCE,Case Sensitivity
Healthcare Analytics,Healthcare  Analytics,Extra Space Issues
Healthcare Analytics,Healthcare A nalytics,Extra Space Issues
Business Intelligence,Business Int elligence,Extra Space Issues
Cloud Computing,Cloud Comp uting,Extra Space Issues
Data Science,data science,Case Sensitivity
Data Science,Data Sc ience,Extra Space Issues
Data Science,data science,Case Sensitivity
Blockchain,BLOCKCHAIN,Case Sensitivity
Artificial Intelligence,Artificial Intelli gence,Extra Space Issues
Business Intelligence,BUSINESS INTELLIGENCE,Case Sensitivity
Machine Learning,Machine&Learning,Special Character Differences
Business Intelligence,Business   Intelligence,Extra Space Issues
Healthcare Analytics,He  althcare Analytics,Extra Space Issues
Blockchain,Blockch  ain,Extra Space Issues
Cyber Security,cyber security,Case Sensitivity
Internet of Things,internet of things,Case Sensitivity
Big Data,Big!Data,Special Character Differences
Cyber Security,Cyber@Security,Special Character Differences
Machine Learning,Ma  chine Learning,Extra Space Issues
Healthcare Analytics,Healthcare  Analytics,Extra Space Issues
Data Science,Data$Science,Special Character Differences
Cyber Security,CYBER SECURITY,Case Sensitivity
Artificial Intelligence,Artificial$Intelligence,Special Character Differences
Healthcare Analytics,healthcare analytics,Case Sensitivity
Cyber Security,Cyber S ecurity,Extra Space Issues
Business Intelligence,Business Intell igence,Extra Space Issues
Big Data,big data,Case Sensitivity
Machine Learning,machine learning,Case Sensitivity
Internet of Things,Inter net of Things,Extra Space Issues
Cyber Security,Cyber@Security,Special Character Differences
Blockchain,B  lockchain,Extra Space Issues
Artificial Intelligence,ARTIFICIAL INTELLIGENCE,Case Sensitivity
Cyber Security,cyber security,Case Sensitivity
Artificial Intelligence,ARTIFICIAL INTELLIGENCE,Case Sensitivity
Blockchain,BLOCKCHAIN,Case Sensitivity
Blockchain,Bloc  kchain,Extra Space Issues
Machine Learning,Machine Learni ng,Extra Space Issues
Healthcare Analytics,Healthcare*Analytics,Special Character Differences
Data Science,Data&Science,Special Character Differences
Data Science,data science,Case Sensitivity
Machine Learning,MACHINE LEARNING,Case Sensitivity
Internet of Things,internet of things,Case Sensitivity
Healthcare Analytics,HEALTHCARE ANALYTICS,Case Sensitivity
Business Intelligence,B usiness Intelligence,Extra Space Issues
Business Intelligence,business intelligence,Case Sensitivity
Cloud Computing,Cloud   Computing,Extra Space Issues
Big Data,Big#Data,Special Character Differences
Healthcare Analytics,Healthcare#Analytics,Special Character Differences
Blockchain,Blo  ckchain,Extra Space Issues
Data Science,data science,Case Sensitivity
Cloud Computing,Cloud!Computing,Special Character Differences
Machine Learning,machine learning,Case Sensitivity
Blockchain,Blockchain,Special Character Differences
Data Science,DATA SCIENCE,Case Sensitivity
Blockchain,Blo  ckchain,Extra Space Issues
Cyber Security,Cyber   Security,Extra Space Issues
Cyber Security,Cy ber Security,Extra Space Issues
Machine Learning,machine learning,Case Sensitivity
Business Intelligence,Business$Intelligence,Special Character Differences
Cyber Security,Cyber!Security,Special Character Differences
Internet of Things,internet of things,Case Sensitivity
Healthcare Analytics,Healthcare$Analytics,Special Character Differences
Internet of Things,internet of things,Case Sensitivity
Machine Learning,Machine%Learning,Special Character Differences
Blockchain,Bl ockchain,Extra Space Issues
Blockchain,Block chain,Extra Space Issues
Artificial Intelligence,Art  ificial Intelligence,Extra Space Issues
Artificial Intelligence,Artifici al Intelligence,Extra Space Issues
Artificial Intelligence,A rtificial Intelligence,Extra Space Issues
Internet of Things,Internet   of Things,Extra Space Issues
Cloud Computing,Cloud%Computing,Special Character Differences
Internet of Things,Internet   of Things,Extra Space Issues
Big Data,Big D  ata,Extra Space Issues
Big Data,Big$Data,Special Character Differences
Artificial Intelligence,Artificial*Intelligence,Special Character Differences
Internet of Things,Inter net of Things,Extra Space Issues
Blockchain,Blockcha  in,Extra Space Issues
Big Data,Big@Data,Special Character Differences
Cloud Computing,C  loud Computing,Extra Space Issues
Healthcare Analytics,healthcare analytics,Case Sensitivity
Blockchain,Blockc hain,Extra Space Issues
Internet of Things,INTERNET OF THINGS,Case Sensitivity
Artificial Intelligence,Artificial I  ntelligence,Extra Space Issues
Cloud Computing,CLOUD COMPUTING,Case Sensitivity
Machine Learning,Machine L  earning,Extra Space Issues
Business Intelligence,Business*Intelligence,Special Character Differences
Artificial Intelligence,ARTIFICIAL INTELLIGENCE,Case Sensitivity
Big Data,BIG DATA,Case Sensitivity
Blockchain,blockchain,Case Sensitivity
Cyber Security,Cyber$Security,Special Character Differences
Artificial Intelligence,Artificial Intellige  nce,Extra Space Issues
Cloud Computing,Cloud$Computing,Special Character Differences
Healthcare Analytics,Healthcar e Analytics,Extra Space Issues
Business Intelligence,BUSINESS INTELLIGENCE,Case Sensitivity
Internet of Things,Internet*of*Things,Special Character Differences
Internet of Things,internet of things,Case Sensitivity
Healthcare Analytics,HEALTHCARE ANALYTICS,Case Sensitivity
Big Data,Big&Data,Special Character Differences
Healthcare Analytics,Healthcare#Analytics,Special Character Differences
Business Intelligence,BUSINESS INTELLIGENCE,Case Sensitivity
