Source,Destination,Label
91578315.94,9.1578316E+07,Scientific Notation Difference
61580903.63,6.1580904E+07,Scientific Notation Difference
33318562.91,3.3318563E+07,Scientific Notation Difference
90781646.04,9.0781646E+07,Scientific Notation Difference
99762972.81,9.9762973E+07,Scientific Notation Difference
84112483.69,8.4112484E+07,Scientific Notation Difference
67653091.31,6.7653091E+07,Scientific Notation Difference
20191050.27,2.0191050E+07,Scientific Notation Difference
57599180.37,5.7599180E+07,Scientific Notation Difference
14653764.33,1.4653764E+07,Scientific Notation Difference
57734621.98,5.7734622E+07,Scientific Notation Difference
28279100.64,2.8279101E+07,Scientific Notation Difference
50908555.81,5.0908556E+07,Scientific Notation Difference
28879447.81,2.8879448E+07,Scientific Notation Difference
20064351.04,2.0064351E+07,Scientific Notation Difference
87238453.13,8.7238453E+07,Scientific Notation Difference
71022260.93,7.1022261E+07,Scientific Notation Difference
34105859.29,3.4105859E+07,Scientific Notation Difference
21412023.40,2.1412023E+07,Scientific Notation Difference
21376784.58,2.1376785E+07,Scientific Notation Difference
70896632.96,7.0896633E+07,Scientific Notation Difference
90913834.27,9.0913834E+07,Scientific Notation Difference
94562294.64,9.4562295E+07,Scientific Notation Difference
33385781.13,3.3385781E+07,Scientific Notation Difference
37076246.94,3.7076247E+07,Scientific Notation Difference
14993071.36,1.4993071E+07,Scientific Notation Difference
88154831.78,8.8154832E+07,Scientific Notation Difference
88639017.25,8.8639017E+07,Scientific Notation Difference
79725810.33,7.9725810E+07,Scientific Notation Difference
23883280.01,2.3883280E+07,Scientific Notation Difference
55989700.90,5.5989701E+07,Scientific Notation Difference
41979705.32,4.1979705E+07,Scientific Notation Difference
69289310.72,6.9289311E+07,Scientific Notation Difference
47847376.81,4.7847377E+07,Scientific Notation Difference
31502959.75,3.1502960E+07,Scientific Notation Difference
56432570.66,5.6432571E+07,Scientific Notation Difference
80844023.26,8.0844023E+07,Scientific Notation Difference
53643866.24,5.3643866E+07,Scientific Notation Difference
37293302.79,3.7293303E+07,Scientific Notation Difference
42597662.13,4.2597662E+07,Scientific Notation Difference
41077741.74,4.1077742E+07,Scientific Notation Difference
90546695.38,9.0546695E+07,Scientific Notation Difference
61065305.96,6.1065306E+07,Scientific Notation Difference
57801304.66,5.7801305E+07,Scientific Notation Difference
85290775.33,8.5290775E+07,Scientific Notation Difference
18992049.52,1.8992050E+07,Scientific Notation Difference
17107350.54,1.7107351E+07,Scientific Notation Difference
86302352.71,8.6302353E+07,Scientific Notation Difference
77835879.35,7.7835879E+07,Scientific Notation Difference
83198347.90,8.3198348E+07,Scientific Notation Difference
54179820.22,5.4179820E+07,Scientific Notation Difference
17445977.80,1.7445978E+07,Scientific Notation Difference
18060737.83,1.8060738E+07,Scientific Notation Difference
56277010.54,5.6277011E+07,Scientific Notation Difference
64978184.68,6.4978185E+07,Scientific Notation Difference
88139237.19,8.8139237E+07,Scientific Notation Difference
73321641.89,7.3321642E+07,Scientific Notation Difference
37490835.63,3.7490836E+07,Scientific Notation Difference
42560150.65,4.2560151E+07,Scientific Notation Difference
98230561.20,9.8230561E+07,Scientific Notation Difference
48716413.87,4.8716414E+07,Scientific Notation Difference
88352142.41,8.8352142E+07,Scientific Notation Difference
15682925.83,1.5682926E+07,Scientific Notation Difference
99708196.01,9.9708196E+07,Scientific Notation Difference
71850837.19,7.1850837E+07,Scientific Notation Difference
93166914.31,9.3166914E+07,Scientific Notation Difference
68144161.21,6.8144161E+07,Scientific Notation Difference
48401121.80,4.8401122E+07,Scientific Notation Difference
47921134.85,4.7921135E+07,Scientific Notation Difference
72985873.14,7.2985873E+07,Scientific Notation Difference
43014905.66,4.3014906E+07,Scientific Notation Difference
57437521.26,5.7437521E+07,Scientific Notation Difference
90256864.79,9.0256865E+07,Scientific Notation Difference
57986862.16,5.7986862E+07,Scientific Notation Difference
99364039.17,9.9364039E+07,Scientific Notation Difference
95648477.00,9.5648477E+07,Scientific Notation Difference
77178388.87,7.7178389E+07,Scientific Notation Difference
93939958.24,9.3939958E+07,Scientific Notation Difference
64355494.56,6.4355495E+07,Scientific Notation Difference
96669872.52,9.6669873E+07,Scientific Notation Difference
37887649.74,3.7887650E+07,Scientific Notation Difference
20839157.86,2.0839158E+07,Scientific Notation Difference
76293089.54,7.6293090E+07,Scientific Notation Difference
74356853.88,7.4356854E+07,Scientific Notation Difference
21740570.47,2.1740570E+07,Scientific Notation Difference
37964230.15,3.7964230E+07,Scientific Notation Difference
22810301.20,2.2810301E+07,Scientific Notation Difference
37757641.32,3.7757641E+07,Scientific Notation Difference
65829446.06,6.5829446E+07,Scientific Notation Difference
89915972.18,8.9915972E+07,Scientific Notation Difference
51807726.49,5.1807727E+07,Scientific Notation Difference
90054616.41,9.0054616E+07,Scientific Notation Difference
91904122.67,9.1904123E+07,Scientific Notation Difference
49595725.51,4.9595726E+07,Scientific Notation Difference
73217313.01,7.3217313E+07,Scientific Notation Difference
54868455.48,5.4868455E+07,Scientific Notation Difference
37582092.10,3.7582092E+07,Scientific Notation Difference
54761702.45,5.4761703E+07,Scientific Notation Difference
78984915.62,7.8984916E+07,Scientific Notation Difference
92854614.97,9.2854615E+07,Scientific Notation Difference
66639039.49,6.6639039E+07,Scientific Notation Difference
71640703.94,7.1640704E+07,Scientific Notation Difference
49527510.73,4.9527511E+07,Scientific Notation Difference
24962247.82,2.4962248E+07,Scientific Notation Difference
65752982.12,6.5752982E+07,Scientific Notation Difference
47592058.58,4.7592059E+07,Scientific Notation Difference
35481035.34,3.5481035E+07,Scientific Notation Difference
22505369.30,2.2505369E+07,Scientific Notation Difference
74494585.73,7.4494586E+07,Scientific Notation Difference
89694448.77,8.9694449E+07,Scientific Notation Difference
92043756.86,9.2043757E+07,Scientific Notation Difference
96867109.80,9.6867110E+07,Scientific Notation Difference
56715083.03,5.6715083E+07,Scientific Notation Difference
81346084.76,8.1346085E+07,Scientific Notation Difference
28563247.85,2.8563248E+07,Scientific Notation Difference
48685600.19,4.8685600E+07,Scientific Notation Difference
69435547.58,6.9435548E+07,Scientific Notation Difference
12931489.18,1.2931489E+07,Scientific Notation Difference
45343541.67,4.5343542E+07,Scientific Notation Difference
93203711.58,9.3203712E+07,Scientific Notation Difference
70584744.56,7.0584745E+07,Scientific Notation Difference
68038151.24,6.8038151E+07,Scientific Notation Difference
54783412.97,5.4783413E+07,Scientific Notation Difference
23838098.23,2.3838098E+07,Scientific Notation Difference
31860644.76,3.1860645E+07,Scientific Notation Difference
81516007.32,8.1516007E+07,Scientific Notation Difference
28010197.58,2.8010198E+07,Scientific Notation Difference
65335037.75,6.5335038E+07,Scientific Notation Difference
75118593.22,7.5118593E+07,Scientific Notation Difference
99523076.06,9.9523076E+07,Scientific Notation Difference
82548821.31,8.2548821E+07,Scientific Notation Difference
98905255.54,9.8905255E+07,Scientific Notation Difference
41780072.53,4.1780072E+07,Scientific Notation Difference
40735323.71,4.0735324E+07,Scientific Notation Difference
47778730.19,4.7778730E+07,Scientific Notation Difference
21966956.32,2.1966956E+07,Scientific Notation Difference
79785970.87,7.9785971E+07,Scientific Notation Difference
48561884.81,4.8561885E+07,Scientific Notation Difference
13346316.17,1.3346316E+07,Scientific Notation Difference
90993027.73,9.0993028E+07,Scientific Notation Difference
36859624.12,3.6859624E+07,Scientific Notation Difference
35681841.94,3.5681842E+07,Scientific Notation Difference
44613228.26,4.4613228E+07,Scientific Notation Difference
80393435.45,8.0393435E+07,Scientific Notation Difference
22257912.71,2.2257913E+07,Scientific Notation Difference
66156278.97,6.6156279E+07,Scientific Notation Difference
46454395.05,4.6454395E+07,Scientific Notation Difference
98415505.33,9.8415505E+07,Scientific Notation Difference
71560726.84,7.1560727E+07,Scientific Notation Difference
39077939.61,3.9077940E+07,Scientific Notation Difference
57050590.97,5.7050591E+07,Scientific Notation Difference
88319556.36,8.8319556E+07,Scientific Notation Difference
44372843.80,4.4372844E+07,Scientific Notation Difference
60032255.07,6.0032255E+07,Scientific Notation Difference
40093689.24,4.0093689E+07,Scientific Notation Difference
99441349.84,9.9441350E+07,Scientific Notation Difference
33957288.45,3.3957288E+07,Scientific Notation Difference
69039623.89,6.9039624E+07,Scientific Notation Difference
33224846.26,3.3224846E+07,Scientific Notation Difference
16048740.07,1.6048740E+07,Scientific Notation Difference
41459998.69,4.1459999E+07,Scientific Notation Difference
59429895.59,5.9429896E+07,Scientific Notation Difference
63740935.87,6.3740936E+07,Scientific Notation Difference
75203146.66,7.5203147E+07,Scientific Notation Difference
39628644.90,3.9628645E+07,Scientific Notation Difference
34448504.19,3.4448504E+07,Scientific Notation Difference
49760738.83,4.9760739E+07,Scientific Notation Difference
81331520.68,8.1331521E+07,Scientific Notation Difference
74512148.14,7.4512148E+07,Scientific Notation Difference
17964543.27,1.7964543E+07,Scientific Notation Difference
54674177.32,5.4674177E+07,Scientific Notation Difference
44340353.55,4.4340353E+07,Scientific Notation Difference
56868335.85,5.6868336E+07,Scientific Notation Difference
24058932.29,2.4058932E+07,Scientific Notation Difference
20226642.94,2.0226643E+07,Scientific Notation Difference
54045749.17,5.4045749E+07,Scientific Notation Difference
70605143.33,7.0605143E+07,Scientific Notation Difference
33047319.52,3.3047319E+07,Scientific Notation Difference
27808191.46,2.7808191E+07,Scientific Notation Difference
73917573.47,7.3917574E+07,Scientific Notation Difference
67569799.43,6.7569799E+07,Scientific Notation Difference
67547017.79,6.7547018E+07,Scientific Notation Difference
89055457.74,8.9055458E+07,Scientific Notation Difference
21171282.72,2.1171283E+07,Scientific Notation Difference
18512930.41,1.8512930E+07,Scientific Notation Difference
58063981.42,5.8063982E+07,Scientific Notation Difference
68024703.17,6.8024703E+07,Scientific Notation Difference
68972430.97,6.8972431E+07,Scientific Notation Difference
50283144.06,5.0283144E+07,Scientific Notation Difference
58266199.75,5.8266200E+07,Scientific Notation Difference
60252613.79,6.0252614E+07,Scientific Notation Difference
99977322.05,9.9977322E+07,Scientific Notation Difference
51235621.69,5.1235622E+07,Scientific Notation Difference
34864039.70,3.4864040E+07,Scientific Notation Difference
97143889.94,9.7143890E+07,Scientific Notation Difference
78161077.62,7.8161078E+07,Scientific Notation Difference
69766524.73,6.9766525E+07,Scientific Notation Difference
29461703.31,2.9461703E+07,Scientific Notation Difference
13110213.07,1.3110213E+07,Scientific Notation Difference
36838976.16,3.6838976E+07,Scientific Notation Difference
36654298.99,3.6654299E+07,Scientific Notation Difference
43643935.04,4.3643935E+07,Scientific Notation Difference
22717372.47,2.2717373E+07,Scientific Notation Difference
86483307.85,8.6483308E+07,Scientific Notation Difference
66838575.26,6.6838575E+07,Scientific Notation Difference
74413549.95,7.4413550E+07,Scientific Notation Difference
60271845.73,6.0271846E+07,Scientific Notation Difference
87447593.33,8.7447593E+07,Scientific Notation Difference
96526024.56,9.6526024E+07,Scientific Notation Difference
71639991.18,7.1639991E+07,Scientific Notation Difference
27369643.59,2.7369644E+07,Scientific Notation Difference
64063883.32,6.4063883E+07,Scientific Notation Difference
35773470.58,3.5773470E+07,Scientific Notation Difference
20350786.64,2.0350787E+07,Scientific Notation Difference
75293678.52,7.5293679E+07,Scientific Notation Difference
98820029.80,9.8820030E+07,Scientific Notation Difference
15103772.46,1.5103772E+07,Scientific Notation Difference
33648648.83,3.3648649E+07,Scientific Notation Difference
46794055.21,4.6794055E+07,Scientific Notation Difference
73727778.85,7.3727779E+07,Scientific Notation Difference
92985584.43,9.2985584E+07,Scientific Notation Difference
29140557.67,2.9140558E+07,Scientific Notation Difference
87393661.64,8.7393662E+07,Scientific Notation Difference
49308651.64,4.9308652E+07,Scientific Notation Difference
69754495.75,6.9754496E+07,Scientific Notation Difference
76872431.40,7.6872431E+07,Scientific Notation Difference
90476597.50,9.0476597E+07,Scientific Notation Difference
74490450.94,7.4490451E+07,Scientific Notation Difference
27614196.83,2.7614197E+07,Scientific Notation Difference
33941277.13,3.3941277E+07,Scientific Notation Difference
71290370.87,7.1290371E+07,Scientific Notation Difference
92344298.12,9.2344298E+07,Scientific Notation Difference
33853221.07,3.3853221E+07,Scientific Notation Difference
60482878.11,6.0482878E+07,Scientific Notation Difference
23642531.40,2.3642531E+07,Scientific Notation Difference
92480481.43,9.2480481E+07,Scientific Notation Difference
23949096.59,2.3949097E+07,Scientific Notation Difference
18532820.89,1.8532821E+07,Scientific Notation Difference
18554075.51,1.8554076E+07,Scientific Notation Difference
63376847.46,6.3376847E+07,Scientific Notation Difference
28035618.13,2.8035618E+07,Scientific Notation Difference
77399976.43,7.7399977E+07,Scientific Notation Difference
95309862.88,9.5309863E+07,Scientific Notation Difference
71716152.15,7.1716152E+07,Scientific Notation Difference
46332980.94,4.6332981E+07,Scientific Notation Difference
29277820.48,2.9277821E+07,Scientific Notation Difference
57320191.21,5.7320191E+07,Scientific Notation Difference
20805195.21,2.0805195E+07,Scientific Notation Difference
75442320.46,7.5442320E+07,Scientific Notation Difference
52417621.07,5.2417621E+07,Scientific Notation Difference
68666848.32,6.8666848E+07,Scientific Notation Difference
90745162.37,9.0745162E+07,Scientific Notation Difference
25811049.93,2.5811050E+07,Scientific Notation Difference
15602679.05,1.5602679E+07,Scientific Notation Difference
41720293.24,4.1720293E+07,Scientific Notation Difference
