Source,Destination,Label
3.75e+05,3.75e+05,Scientific Notation Difference
9.51e+05,9.51e+05,Scientific Notation Difference
7.32e+05,7.32e+05,Scientific Notation Difference
5.99e+05,5.99e+05,Scientific Notation Difference
1.56e+05,1.56e+05,Scientific Notation Difference
1.56e+05,1.56e+05,Scientific Notation Difference
5.81e+04,5.81e+04,Scientific Notation Difference
8.66e+05,8.66e+05,Scientific Notation Difference
6.01e+05,6.01e+05,Scientific Notation Difference
7.08e+05,7.08e+05,Scientific Notation Difference
2.06e+04,2.06e+04,Scientific Notation Difference
9.70e+05,9.70e+05,Scientific Notation Difference
8.32e+05,8.32e+05,Scientific Notation Difference
2.12e+05,2.12e+05,Scientific Notation Difference
1.82e+05,1.82e+05,Scientific Notation Difference
1.83e+05,1.83e+05,Scientific Notation Difference
3.04e+05,3.04e+05,Scientific Notation Difference
5.25e+05,5.25e+05,Scientific Notation Difference
4.32e+05,4.32e+05,Scientific Notation Difference
2.91e+05,2.91e+05,Scientific Notation Difference
6.12e+05,6.12e+05,Scientific Notation Difference
1.39e+05,1.39e+05,Scientific Notation Difference
2.92e+05,2.92e+05,Scientific Notation Difference
3.66e+05,3.66e+05,Scientific Notation Difference
4.56e+05,4.56e+05,Scientific Notation Difference
7.85e+05,7.85e+05,Scientific Notation Difference
2.00e+05,2.00e+05,Scientific Notation Difference
5.14e+05,5.14e+05,Scientific Notation Difference
5.92e+05,5.92e+05,Scientific Notation Difference
4.65e+04,4.65e+04,Scientific Notation Difference
6.08e+05,6.08e+05,Scientific Notation Difference
1.71e+05,1.71e+05,Scientific Notation Difference
6.51e+04,6.51e+04,Scientific Notation Difference
9.49e+05,9.49e+05,Scientific Notation Difference
9.66e+05,9.66e+05,Scientific Notation Difference
8.08e+05,8.08e+05,Scientific Notation Difference
3.05e+05,3.05e+05,Scientific Notation Difference
9.77e+04,9.77e+04,Scientific Notation Difference
6.84e+05,6.84e+05,Scientific Notation Difference
4.40e+05,4.40e+05,Scientific Notation Difference
1.22e+05,1.22e+05,Scientific Notation Difference
4.95e+05,4.95e+05,Scientific Notation Difference
3.44e+04,3.44e+04,Scientific Notation Difference
9.09e+05,9.09e+05,Scientific Notation Difference
2.59e+05,2.59e+05,Scientific Notation Difference
6.63e+05,6.63e+05,Scientific Notation Difference
3.12e+05,3.12e+05,Scientific Notation Difference
5.20e+05,5.20e+05,Scientific Notation Difference
5.47e+05,5.47e+05,Scientific Notation Difference
1.85e+05,1.85e+05,Scientific Notation Difference
9.70e+05,9.70e+05,Scientific Notation Difference
7.75e+05,7.75e+05,Scientific Notation Difference
9.39e+05,9.39e+05,Scientific Notation Difference
8.95e+05,8.95e+05,Scientific Notation Difference
5.98e+05,5.98e+05,Scientific Notation Difference
9.22e+05,9.22e+05,Scientific Notation Difference
8.85e+04,8.85e+04,Scientific Notation Difference
1.96e+05,1.96e+05,Scientific Notation Difference
4.52e+04,4.52e+04,Scientific Notation Difference
3.25e+05,3.25e+05,Scientific Notation Difference
3.89e+05,3.89e+05,Scientific Notation Difference
2.71e+05,2.71e+05,Scientific Notation Difference
8.29e+05,8.29e+05,Scientific Notation Difference
3.57e+05,3.57e+05,Scientific Notation Difference
2.81e+05,2.81e+05,Scientific Notation Difference
5.43e+05,5.43e+05,Scientific Notation Difference
1.41e+05,1.41e+05,Scientific Notation Difference
8.02e+05,8.02e+05,Scientific Notation Difference
7.46e+04,7.46e+04,Scientific Notation Difference
9.87e+05,9.87e+05,Scientific Notation Difference
7.72e+05,7.72e+05,Scientific Notation Difference
1.99e+05,1.99e+05,Scientific Notation Difference
5.52e+03,5.52e+03,Scientific Notation Difference
8.15e+05,8.15e+05,Scientific Notation Difference
7.07e+05,7.07e+05,Scientific Notation Difference
7.29e+05,7.29e+05,Scientific Notation Difference
7.71e+05,7.71e+05,Scientific Notation Difference
7.40e+04,7.40e+04,Scientific Notation Difference
3.58e+05,3.58e+05,Scientific Notation Difference
1.16e+05,1.16e+05,Scientific Notation Difference
8.63e+05,8.63e+05,Scientific Notation Difference
6.23e+05,6.23e+05,Scientific Notation Difference
3.31e+05,3.31e+05,Scientific Notation Difference
6.36e+04,6.36e+04,Scientific Notation Difference
3.11e+05,3.11e+05,Scientific Notation Difference
3.25e+05,3.25e+05,Scientific Notation Difference
7.30e+05,7.30e+05,Scientific Notation Difference
6.38e+05,6.38e+05,Scientific Notation Difference
8.87e+05,8.87e+05,Scientific Notation Difference
4.72e+05,4.72e+05,Scientific Notation Difference
1.20e+05,1.20e+05,Scientific Notation Difference
7.13e+05,7.13e+05,Scientific Notation Difference
7.61e+05,7.61e+05,Scientific Notation Difference
5.61e+05,5.61e+05,Scientific Notation Difference
7.71e+05,7.71e+05,Scientific Notation Difference
4.94e+05,4.94e+05,Scientific Notation Difference
5.23e+05,5.23e+05,Scientific Notation Difference
4.28e+05,4.28e+05,Scientific Notation Difference
2.54e+04,2.54e+04,Scientific Notation Difference
1.08e+05,1.08e+05,Scientific Notation Difference
3.14e+04,3.14e+04,Scientific Notation Difference
6.36e+05,6.36e+05,Scientific Notation Difference
3.14e+05,3.14e+05,Scientific Notation Difference
5.09e+05,5.09e+05,Scientific Notation Difference
9.08e+05,9.08e+05,Scientific Notation Difference
2.49e+05,2.49e+05,Scientific Notation Difference
4.10e+05,4.10e+05,Scientific Notation Difference
7.56e+05,7.56e+05,Scientific Notation Difference
2.29e+05,2.29e+05,Scientific Notation Difference
7.70e+04,7.70e+04,Scientific Notation Difference
2.90e+05,2.90e+05,Scientific Notation Difference
1.61e+05,1.61e+05,Scientific Notation Difference
9.30e+05,9.30e+05,Scientific Notation Difference
8.08e+05,8.08e+05,Scientific Notation Difference
6.33e+05,6.33e+05,Scientific Notation Difference
8.71e+05,8.71e+05,Scientific Notation Difference
8.04e+05,8.04e+05,Scientific Notation Difference
1.87e+05,1.87e+05,Scientific Notation Difference
8.93e+05,8.93e+05,Scientific Notation Difference
5.39e+05,5.39e+05,Scientific Notation Difference
8.07e+05,8.07e+05,Scientific Notation Difference
8.96e+05,8.96e+05,Scientific Notation Difference
3.18e+05,3.18e+05,Scientific Notation Difference
1.10e+05,1.10e+05,Scientific Notation Difference
2.28e+05,2.28e+05,Scientific Notation Difference
4.27e+05,4.27e+05,Scientific Notation Difference
8.18e+05,8.18e+05,Scientific Notation Difference
8.61e+05,8.61e+05,Scientific Notation Difference
6.95e+03,6.95e+03,Scientific Notation Difference
5.11e+05,5.11e+05,Scientific Notation Difference
4.17e+05,4.17e+05,Scientific Notation Difference
2.22e+05,2.22e+05,Scientific Notation Difference
1.20e+05,1.20e+05,Scientific Notation Difference
3.38e+05,3.38e+05,Scientific Notation Difference
9.43e+05,9.43e+05,Scientific Notation Difference
3.23e+05,3.23e+05,Scientific Notation Difference
5.19e+05,5.19e+05,Scientific Notation Difference
7.03e+05,7.03e+05,Scientific Notation Difference
3.64e+05,3.64e+05,Scientific Notation Difference
9.72e+05,9.72e+05,Scientific Notation Difference
9.62e+05,9.62e+05,Scientific Notation Difference
2.52e+05,2.52e+05,Scientific Notation Difference
4.97e+05,4.97e+05,Scientific Notation Difference
3.01e+05,3.01e+05,Scientific Notation Difference
2.85e+05,2.85e+05,Scientific Notation Difference
3.69e+04,3.69e+04,Scientific Notation Difference
6.10e+05,6.10e+05,Scientific Notation Difference
5.03e+05,5.03e+05,Scientific Notation Difference
5.15e+04,5.15e+04,Scientific Notation Difference
2.79e+05,2.79e+05,Scientific Notation Difference
9.08e+05,9.08e+05,Scientific Notation Difference
2.40e+05,2.40e+05,Scientific Notation Difference
1.45e+05,1.45e+05,Scientific Notation Difference
4.89e+05,4.89e+05,Scientific Notation Difference
9.86e+05,9.86e+05,Scientific Notation Difference
2.42e+05,2.42e+05,Scientific Notation Difference
6.72e+05,6.72e+05,Scientific Notation Difference
7.62e+05,7.62e+05,Scientific Notation Difference
2.38e+05,2.38e+05,Scientific Notation Difference
7.28e+05,7.28e+05,Scientific Notation Difference
3.68e+05,3.68e+05,Scientific Notation Difference
6.32e+05,6.32e+05,Scientific Notation Difference
6.34e+05,6.34e+05,Scientific Notation Difference
5.36e+05,5.36e+05,Scientific Notation Difference
9.03e+04,9.03e+04,Scientific Notation Difference
8.35e+05,8.35e+05,Scientific Notation Difference
3.21e+05,3.21e+05,Scientific Notation Difference
1.87e+05,1.87e+05,Scientific Notation Difference
4.08e+04,4.08e+04,Scientific Notation Difference
5.91e+05,5.91e+05,Scientific Notation Difference
6.78e+05,6.78e+05,Scientific Notation Difference
1.66e+04,1.66e+04,Scientific Notation Difference
5.12e+05,5.12e+05,Scientific Notation Difference
2.26e+05,2.26e+05,Scientific Notation Difference
6.45e+05,6.45e+05,Scientific Notation Difference
1.74e+05,1.74e+05,Scientific Notation Difference
6.91e+05,6.91e+05,Scientific Notation Difference
3.87e+05,3.87e+05,Scientific Notation Difference
9.37e+05,9.37e+05,Scientific Notation Difference
1.38e+05,1.38e+05,Scientific Notation Difference
3.41e+05,3.41e+05,Scientific Notation Difference
1.13e+05,1.13e+05,Scientific Notation Difference
9.25e+05,9.25e+05,Scientific Notation Difference
8.77e+05,8.77e+05,Scientific Notation Difference
2.58e+05,2.58e+05,Scientific Notation Difference
6.60e+05,6.60e+05,Scientific Notation Difference
8.17e+05,8.17e+05,Scientific Notation Difference
5.55e+05,5.55e+05,Scientific Notation Difference
5.30e+05,5.30e+05,Scientific Notation Difference
