Source,Destination,Label
347290,"347,290.78",Thousand Separator Difference
602339114841,"602,339,114,841.55",Thousand Separator Difference
19971657471159,"19,971,657,471,159.53",Thousand Separator Difference
5430091218,"5,430,091,218.65",Thousand Separator Difference
12240700,"12,240,700.54",Thousand Separator Difference
9252649928913710032,"9,252,649,928,913,709,056.00",Thousand Separator Difference
79533309771138376546,"79,533,309,771,138,383,872.00",Thousand Separator Difference
172368245319,"172,368,245,319.75",Thousand Separator Difference
76505124643,"76,505,124,643.88",Thousand Separator Difference
92196,"92,196.18",Thousand Separator Difference
81835845,"81,835,845.90",Thousand Separator Difference
48768009757715185630,"48,768,009,757,715,185,664.00",Thousand Separator Difference
2340,"2,340.43",Thousand Separator Difference
6111804018677,"6,111,804,018,677.70",Thousand Separator Difference
3569,"3,569.56",Thousand Separator Difference
6862436503373422,"6,862,436,503,373,423.00",Thousand Separator Difference
3290129813,"3,290,129,813.46",Thousand Separator Difference
7194227,"7,194,227.68",Thousand Separator Difference
6364,"6,364.50",Thousand Separator Difference
84076854999043,"84,076,854,999,043.64",Thousand Separator Difference
9801493359,"9,801,493,359.53",Thousand Separator Difference
32054,"32,054.35",Thousand Separator Difference
4961684,"4,961,684.63",Thousand Separator Difference
986451148287318,"986,451,148,287,318.00",Thousand Separator Difference
6545,"6,545.02",Thousand Separator Difference
43428570,"43,428,570.56",Thousand Separator Difference
7222806771740,"7,222,806,771,740.76",Thousand Separator Difference
367501,"367,501.91",Thousand Separator Difference
713171,"713,171.78",Thousand Separator Difference
2726472818,"2,726,472,818.49",Thousand Separator Difference
4335630,"4,335,630.85",Thousand Separator Difference
7219170096102667,"7,219,170,096,102,668.00",Thousand Separator Difference
300779,"300,779.88",Thousand Separator Difference
286192098829,"286,192,098,829.01",Thousand Separator Difference
816942837917879669,"816,942,837,917,879,680.00",Thousand Separator Difference
424648846339594694,"424,648,846,339,594,688.00",Thousand Separator Difference
6520425790,"6,520,425,790.13",Thousand Separator Difference
60321556496,"60,321,556,496.53",Thousand Separator Difference
879526,"879,526.56",Thousand Separator Difference
83970627564837,"83,970,627,564,837.69",Thousand Separator Difference
3681415295607953756,"3,681,415,295,607,953,920.00",Thousand Separator Difference
508393821351,"508,393,821,351.38",Thousand Separator Difference
67755735990,"67,755,735,990.63",Thousand Separator Difference
16691835,"16,691,835.72",Thousand Separator Difference
833373,"833,373.25",Thousand Separator Difference
361101609645127754,"361,101,609,645,127,744.00",Thousand Separator Difference
117718,"117,718.73",Thousand Separator Difference
42588860026,"42,588,860,026.72",Thousand Separator Difference
3632176349492412276,"3,632,176,349,492,412,416.00",Thousand Separator Difference
35013959616,"35,013,959,616.96",Thousand Separator Difference
256291558878871,"256,291,558,878,871.88",Thousand Separator Difference
55098,"55,098.84",Thousand Separator Difference
1744,"1,744.88",Thousand Separator Difference
