Source,Destination,Label
"374,540.74",374541.12,Thousand Separator Difference
"950,714.36","950,714.69",Thousand Separator Difference
"731,994.21","731,994.39",Thousand Separator Difference
"598,658.89",598659.49,Thousand Separator Difference
"156,019.48","156,019.96",Thousand Separator Difference
"155,995.36",155996.23,Thousand Separator Difference
"58,084.55",58084.59,Thousand Separator Difference
"866,176.28","866,176.92",Thousand Separator Difference
"601,115.41",601116.17,Thousand Separator Difference
"708,072.87","708,073.63",Thousand Separator Difference
"20,585.47","20,586.36",Thousand Separator Difference
"969,909.88","969,910.61",Thousand Separator Difference
"832,442.81","832,443.74",Thousand Separator Difference
"212,339.90","212,340.23",Thousand Separator Difference
"181,825.79","181,826.29",Thousand Separator Difference
"183,405.33",183405.34,Thousand Separator Difference
"304,242.94",304242.95,Thousand Separator Difference
"524,756.91",524757.15,Thousand Separator Difference
"431,945.59",431945.69,Thousand Separator Difference
"291,229.85","291,230.11",Thousand Separator Difference
"611,853.28","611,853.46",Thousand Separator Difference
"139,494.72","139,494.75",Thousand Separator Difference
"292,145.36","292,146.27",Thousand Separator Difference
"366,362.48",366362.49,Thousand Separator Difference
"456,070.53",456071.26,Thousand Separator Difference
"785,176.18","785,176.33",Thousand Separator Difference
"199,674.58","199,675.49",Thousand Separator Difference
"514,234.92","514,235.82",Thousand Separator Difference
"592,414.98","592,415.63",Thousand Separator Difference
"46,451.37","46,452.04",Thousand Separator Difference
"607,545.24",607545.25,Thousand Separator Difference
"170,524.95","170,525.94",Thousand Separator Difference
"65,052.53",65053.41,Thousand Separator Difference
"948,885.59","948,886.48",Thousand Separator Difference
"965,632.07","965,632.73",Thousand Separator Difference
"808,397.54",808397.88,Thousand Separator Difference
"304,614.46",304615.36,Thousand Separator Difference
"97,673.02","97,673.31",Thousand Separator Difference
"684,233.34",684233.90,Thousand Separator Difference
"440,153.05","440,153.15",Thousand Separator Difference
"122,039.11","122,040.03",Thousand Separator Difference
"495,177.41",495177.56,Thousand Separator Difference
"34,389.49",34389.71,Thousand Separator Difference
"909,320.49","909,321.05",Thousand Separator Difference
"258,780.72","258,781.49",Thousand Separator Difference
"662,522.62",662523.24,Thousand Separator Difference
"311,711.76","311,712.00",Thousand Separator Difference
"520,068.50","520,068.50",Thousand Separator Difference
"546,710.73",546711.49,Thousand Separator Difference
"184,855.27",184856.26,Thousand Separator Difference
"969,584.66","969,585.47",Thousand Separator Difference
"775,133.05",775133.51,Thousand Separator Difference
"939,499.00",939499.91,Thousand Separator Difference
"894,827.46","894,827.87",Thousand Separator Difference
"597,900.38",597900.91,Thousand Separator Difference
"921,874.31",921874.79,Thousand Separator Difference
"88,493.41","88,493.86",Thousand Separator Difference
"195,983.67","195,984.44",Thousand Separator Difference
"45,228.24",45228.77,Thousand Separator Difference
"325,331.01",325331.32,Thousand Separator Difference
"388,677.90","388,678.16",Thousand Separator Difference
"271,349.76",271349.80,Thousand Separator Difference
"828,737.68",828738.26,Thousand Separator Difference
"356,753.97",356754.20,Thousand Separator Difference
"280,935.23",280935.38,Thousand Separator Difference
"542,696.54","542,697.19",Thousand Separator Difference
"140,925.08","140,925.77",Thousand Separator Difference
"802,197.18",802197.93,Thousand Separator Difference
"74,551.57","74,552.07",Thousand Separator Difference
"986,886.95",986887.84,Thousand Separator Difference
"772,245.00","772,245.93",Thousand Separator Difference
"198,716.48","198,717.29",Thousand Separator Difference
"5,523.11","5,523.75",Thousand Separator Difference
"815,461.61",815461.92,Thousand Separator Difference
"706,857.64",706858.62,Thousand Separator Difference
"729,007.44","729,007.71",Thousand Separator Difference
"771,270.58","771,270.78",Thousand Separator Difference
"74,045.58","74,046.02",Thousand Separator Difference
"358,466.37",358466.43,Thousand Separator Difference
"115,869.94","115,870.92",Thousand Separator Difference
"863,103.56",863104.15,Thousand Separator Difference
"623,298.50",623299.06,Thousand Separator Difference
"330,898.69","330,899.35",Thousand Separator Difference
"63,559.29",63559.78,Thousand Separator Difference
"310,983.01","310,983.04",Thousand Separator Difference
"325,184.00",325184.61,Thousand Separator Difference
"729,606.45","729,607.16",Thousand Separator Difference
"637,557.83","637,558.25",Thousand Separator Difference
"887,212.86",887213.61,Thousand Separator Difference
"472,215.45","472,215.68",Thousand Separator Difference
"119,595.13",119595.35,Thousand Separator Difference
"713,245.07",713245.24,Thousand Separator Difference
"760,785.29",760785.66,Thousand Separator Difference
"561,277.64","561,278.48",Thousand Separator Difference
"770,967.41",770968.24,Thousand Separator Difference
"493,796.10",493796.49,Thousand Separator Difference
"522,733.31","522,733.90",Thousand Separator Difference
"427,541.59",427542.31,Thousand Separator Difference
"25,420.10",25420.34,Thousand Separator Difference
"107,892.32","107,892.49",Thousand Separator Difference
"31,430.15",31431.13,Thousand Separator Difference
"636,410.77","636,411.39",Thousand Separator Difference
"314,356.67","314,357.65",Thousand Separator Difference
"508,571.18","508,571.52",Thousand Separator Difference
"907,566.57",907567.27,Thousand Separator Difference
"249,292.98","249,293.20",Thousand Separator Difference
"410,383.51",410383.77,Thousand Separator Difference
"755,551.38",755551.89,Thousand Separator Difference
"228,798.94",228799.26,Thousand Separator Difference
"76,980.83","76,981.00",Thousand Separator Difference
"289,752.16",289752.43,Thousand Separator Difference
"161,222.13",161222.16,Thousand Separator Difference
"929,697.72","929,698.43",Thousand Separator Difference
"808,120.57",808121.06,Thousand Separator Difference
"633,404.12",633404.22,Thousand Separator Difference
"871,460.72",871460.89,Thousand Separator Difference
"803,672.27","803,672.38",Thousand Separator Difference
"186,570.87","186,571.48",Thousand Separator Difference
"892,559.11","892,559.20",Thousand Separator Difference
"539,342.70","539,343.46",Thousand Separator Difference
"807,440.35",807440.37,Thousand Separator Difference
"896,091.40",896091.65,Thousand Separator Difference
"318,004.16",318005.05,Thousand Separator Difference
"110,052.81",110053.53,Thousand Separator Difference
"227,935.93",227936.01,Thousand Separator Difference
"427,108.36","427,109.18",Thousand Separator Difference
"818,014.95",818015.44,Thousand Separator Difference
"860,730.72","860,731.57",Thousand Separator Difference
"6,953.12","6,953.72",Thousand Separator Difference
"510,747.79",510748.47,Thousand Separator Difference
"417,411.59","417,412.58",Thousand Separator Difference
"222,108.59","222,108.82",Thousand Separator Difference
"119,866.25",119866.87,Thousand Separator Difference
"337,615.83","337,616.29",Thousand Separator Difference
"942,909.76","942,909.80",Thousand Separator Difference
"323,203.61","323,203.62",Thousand Separator Difference
"518,791.10","518,791.22",Thousand Separator Difference
"703,019.26","703,019.90",Thousand Separator Difference
"363,630.24",363630.81,Thousand Separator Difference
"971,782.11","971,782.66",Thousand Separator Difference
"962,447.33",962447.36,Thousand Separator Difference
"251,783.04","251,783.51",Thousand Separator Difference
"497,249.01","497,249.93",Thousand Separator Difference
"300,879.01",300879.41,Thousand Separator Difference
"284,841.21",284841.83,Thousand Separator Difference
"36,887.91",36888.69,Thousand Separator Difference
"609,564.72",609565.51,Thousand Separator Difference
"502,679.52","502,680.04",Thousand Separator Difference
"51,479.70","51,480.56",Thousand Separator Difference
"278,647.19",278647.58,Thousand Separator Difference
"908,265.98","908,266.87",Thousand Separator Difference
"239,562.65","239,562.89",Thousand Separator Difference
"144,895.73","144,896.01",Thousand Separator Difference
"489,453.27",489453.32,Thousand Separator Difference
"985,650.47","985,651.26",Thousand Separator Difference
"242,056.03","242,056.45",Thousand Separator Difference
"672,135.88","672,136.10",Thousand Separator Difference
"761,619.85",761620.09,Thousand Separator Difference
"237,638.31","237,639.21",Thousand Separator Difference
"728,216.62","728,217.45",Thousand Separator Difference
"367,783.76",367784.32,Thousand Separator Difference
"632,306.20",632306.81,Thousand Separator Difference
"633,530.08",633530.55,Thousand Separator Difference
"535,775.15",535775.54,Thousand Separator Difference
"90,290.68","90,291.60",Thousand Separator Difference
"835,302.66","835,302.79",Thousand Separator Difference
"320,780.74","320,781.16",Thousand Separator Difference
"186,519.32",186519.67,Thousand Separator Difference
"40,776.10","40,776.60",Thousand Separator Difference
"590,893.35",590893.81,Thousand Separator Difference
"677,564.68",677565.20,Thousand Separator Difference
"16,588.81","16,588.95",Thousand Separator Difference
"512,093.55","512,094.06",Thousand Separator Difference
"226,496.55","226,496.79",Thousand Separator Difference
"645,173.15","645,173.33",Thousand Separator Difference
"174,367.25","174,367.32",Thousand Separator Difference
"690,938.05",690938.81,Thousand Separator Difference
"386,735.96","386,736.39",Thousand Separator Difference
"936,730.05","936,730.68",Thousand Separator Difference
"137,521.81","137,522.53",Thousand Separator Difference
"341,067.01",341067.69,Thousand Separator Difference
"113,474.41",113474.88,Thousand Separator Difference
"924,693.69",924694.08,Thousand Separator Difference
"877,339.48",877339.85,Thousand Separator Difference
"257,942.37","257,943.01",Thousand Separator Difference
"659,984.39","659,984.88",Thousand Separator Difference
"817,222.38","817,223.23",Thousand Separator Difference
"555,201.26","555,202.13",Thousand Separator Difference
"529,651.05",529651.22,Thousand Separator Difference
"241,853.05","241,853.19",Thousand Separator Difference
"93,103.67","93,104.31",Thousand Separator Difference
"897,215.86",897216.16,Thousand Separator Difference
"900,418.16",900418.18,Thousand Separator Difference
"633,101.82",633102.71,Thousand Separator Difference
"339,030.45","339,030.68",Thousand Separator Difference
"349,210.23",349211.15,Thousand Separator Difference
"725,955.95",725956.67,Thousand Separator Difference
"897,110.36","897,111.13",Thousand Separator Difference
"887,086.54",887086.74,Thousand Separator Difference
"779,875.77",779876.00,Thousand Separator Difference
"642,032.00","642,032.53",Thousand Separator Difference
"84,140.88","84,141.05",Thousand Separator Difference
"161,629.55","161,629.86",Thousand Separator Difference
"898,554.29","898,554.61",Thousand Separator Difference
"606,429.45",606429.61,Thousand Separator Difference
"9,198.04","9,198.25",Thousand Separator Difference
"101,472.44",101473.23,Thousand Separator Difference
"663,502.11",663502.27,Thousand Separator Difference
"5,062.58",5062.61,Thousand Separator Difference
"160,808.89","160,809.52",Thousand Separator Difference
"548,734.24","548,735.22",Thousand Separator Difference
"691,895.51","691,895.84",Thousand Separator Difference
"651,961.61","651,961.73",Thousand Separator Difference
"224,270.09","224,270.66",Thousand Separator Difference
"712,179.51",712180.42,Thousand Separator Difference
"237,249.85","237,250.63",Thousand Separator Difference
"325,400.37",325401.00,Thousand Separator Difference
"746,491.66","746,491.97",Thousand Separator Difference
"649,633.25",649633.79,Thousand Separator Difference
"849,223.56",849223.65,Thousand Separator Difference
"657,613.23","657,613.91",Thousand Separator Difference
"568,309.04",568309.76,Thousand Separator Difference
"93,675.67",93676.64,Thousand Separator Difference
"367,716.44",367716.70,Thousand Separator Difference
"265,203.10",265203.12,Thousand Separator Difference
"243,990.40","243,990.94",Thousand Separator Difference
"973,010.58","973,011.29",Thousand Separator Difference
"393,098.33","393,099.12",Thousand Separator Difference
"892,046.66",892046.86,Thousand Separator Difference
"631,138.99",631139.26,Thousand Separator Difference
"794,811.51",794812.02,Thousand Separator Difference
"502,637.59","502,637.92",Thousand Separator Difference
"576,904.31",576905.17,Thousand Separator Difference
"492,518.20",492518.68,Thousand Separator Difference
"195,243.79","195,244.59",Thousand Separator Difference
"722,452.39","722,452.97",Thousand Separator Difference
"280,773.08","280,773.85",Thousand Separator Difference
"24,316.94",24317.27,Thousand Separator Difference
"645,472.65",645473.48,Thousand Separator Difference
"177,111.50","177,111.78",Thousand Separator Difference
"940,458.64","940,459.19",Thousand Separator Difference
"953,928.62",953928.84,Thousand Separator Difference
"914,864.48",914864.95,Thousand Separator Difference
"370,159.33",370159.65,Thousand Separator Difference
"15,457.60",15457.87,Thousand Separator Difference
"928,318.63","928,319.60",Thousand Separator Difference
"428,184.72",428184.88,Thousand Separator Difference
"966,654.85","966,655.64",Thousand Separator Difference
"963,620.01",963621.00,Thousand Separator Difference
"853,009.60","853,009.62",Thousand Separator Difference
"294,449.60",294450.30,Thousand Separator Difference
"385,098.34","385,098.60",Thousand Separator Difference
"851,136.82",851136.86,Thousand Separator Difference
"316,922.69","316,923.09",Thousand Separator Difference
"169,493.58","169,494.51",Thousand Separator Difference
"556,801.71",556801.72,Thousand Separator Difference
"936,154.84","936,155.43",Thousand Separator Difference
"696,030.10",696030.60,Thousand Separator Difference
"570,061.60",570062.47,Thousand Separator Difference
"97,177.40",97177.48,Thousand Separator Difference
"615,007.61",615008.29,Thousand Separator Difference
"990,053.86",990054.54,Thousand Separator Difference
"140,084.88",140085.54,Thousand Separator Difference
"518,330.13",518331.08,Thousand Separator Difference
"877,373.19","877,374.02",Thousand Separator Difference
"740,768.88","740,768.92",Thousand Separator Difference
"697,016.04",697016.52,Thousand Separator Difference
"702,484.38","702,484.78",Thousand Separator Difference
"359,491.79","359,492.10",Thousand Separator Difference
"293,592.55","293,593.00",Thousand Separator Difference
"809,361.35","809,361.73",Thousand Separator Difference
"810,113.58",810114.02,Thousand Separator Difference
"867,072.45",867073.43,Thousand Separator Difference
"913,240.64",913240.73,Thousand Separator Difference
"511,342.89",511343.81,Thousand Separator Difference
"501,516.79","501,517.27",Thousand Separator Difference
"798,295.38","798,296.00",Thousand Separator Difference
"649,964.28","649,965.11",Thousand Separator Difference
"701,967.18",701967.54,Thousand Separator Difference
"795,792.87","795,793.30",Thousand Separator Difference
"890,005.45","890,005.86",Thousand Separator Difference
"337,995.82",337996.19,Thousand Separator Difference
"375,583.58",375584.50,Thousand Separator Difference
"93,982.85","93,983.67",Thousand Separator Difference
"578,280.56","578,280.67",Thousand Separator Difference
"35,943.24",35943.35,Thousand Separator Difference
"465,598.55",465598.98,Thousand Separator Difference
"542,645.09","542,645.19",Thousand Separator Difference
"286,541.97","286,542.58",Thousand Separator Difference
"590,833.67",590833.81,Thousand Separator Difference
"30,501.22",30501.74,Thousand Separator Difference
"37,349.15",37349.16,Thousand Separator Difference
"822,600.74",822601.05,Thousand Separator Difference
"360,191.28",360191.96,Thousand Separator Difference
"127,061.39","127,061.87",Thousand Separator Difference
"522,243.74","522,244.72",Thousand Separator Difference
"769,993.78",769994.66,Thousand Separator Difference
"215,821.81",215822.17,Thousand Separator Difference
"622,890.85",622890.90,Thousand Separator Difference
"85,348.38","85,349.23",Thousand Separator Difference
"51,682.67",51683.58,Thousand Separator Difference
"531,355.10","531,355.92",Thousand Separator Difference
"540,635.58",540635.71,Thousand Separator Difference
"637,430.26","637,431.26",Thousand Separator Difference
"726,091.61",726091.87,Thousand Separator Difference
"975,852.10",975852.83,Thousand Separator Difference
"516,300.83","516,301.74",Thousand Separator Difference
"322,957.15","322,957.39",Thousand Separator Difference
"795,186.40",795187.31,Thousand Separator Difference
"270,832.98",270833.29,Thousand Separator Difference
"438,971.98","438,972.96",Thousand Separator Difference
"78,457.30","78,457.58",Thousand Separator Difference
"25,351.72","25,352.67",Thousand Separator Difference
"962,648.45",962648.51,Thousand Separator Difference
"835,980.28","835,980.99",Thousand Separator Difference
"695,974.51","695,975.04",Thousand Separator Difference
"408,953.54",408954.01,Thousand Separator Difference
"173,295.15",173295.37,Thousand Separator Difference
"156,437.89","156,438.59",Thousand Separator Difference
